Tabela de Padrões de Regime Especial de crédito e/ou débito (Regra Z13-10),,,
UF,Padrão Regime Especial (campo nProc),Exemplos,Expressão Regular
PR,NNNNN/AAAA,123/2009; 1234/2018; 12345/2021;0123/2009,"""([0-9]{1,5})(\/)([2][0][0-9]{2}|[1][9][8-9][0-9])"""
