cProdANP,Descrição,pBio  (% Anidro Obrigatorio),Início de vigência,Fim de vigência
320102001,GASOLINA C COMUM,0.3,2025-08-01 00:00:00,
320102002,GASOLINA C COMUM ADITIVADA,0.3,2025-08-01 00:00:00,
320102003,GASOLINA C PREMIUM,0.25,2015-03-16 00:00:00,
320102005,GASOLINA C PREMIUM ADITIVADA,0.25,2015-03-16 00:00:00,
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,0.3,2025-08-01 00:00:00,
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,0.3,2025-08-01 00:00:00,
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,0.3,2025-08-01 00:00:00,
320301001,OUTRAS GASOLINAS,0.3,2025-08-01 00:00:00,
320301002,GASOLINA PARA EXPORTAÇÃO,0.3,2025-08-01 00:00:00,
