TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbenef,Aplica ao Simples Nacional,"CST 00 
(Tributada integralmente)","CST 10 
(Tributada e com cobrança do ICMS por substituição tributária)","CST 20 
(Com redução de base de cálculo)","CST 30 
(Isenta ou não tributada e com cobrança do ICMS por substituição tributária)","CST 40 
(Isenta)","CST 41 
(Não tributada)","CST 50 
(Suspensão)","CST 51 
(Diferimento)","CST 60 
(ICMS cobrado anteriormente por substituição tributária)","CST 70 
(Com redução de base de cálculo e cobrança do ICMS por substituição tributária)","CST 90 
(Outras)",DATA INÍCIO,DT FINAL,DESCRIÇÃO: SETORES/PROGRAMAS/BENEFICIÁRIOS,CAPITULAÇÃO LEGAL,OBSERVAÇÃO,,,,,,,,,,,,,,,
ES100014,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Prestação de serviço de transporte de passageiros.,"Art. 5º, VIII do RICMS/ES
Convênio ICMS 37/89
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100015,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Serviço local de difusão sonora, visando o combate à sonegação.","Art. 5º, IX do RICMS/ES
Convênio ICMS 08/89
Convênio ICMS 102/96",Isenção do ICMS,,,,,,,,,,,,,,,
ES100016,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída, exceto quando destinada à industrialização, e a respectiva prestação de serviços de transporte, de flores, funcho e frutas secas, produtos hortícolas, ovos, caprinos, etc.","Art. 5º, X do RICMS/ES
Convênio ICMS 44/75
Convênio ICMS 68/90
Convênio ICMS 124/93",Isenção do ICMS,,,,,,,,,,,,,,,
ES100017,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Recebimento, por doação, de produtos importados, do exterior, diretamente por órgãos ou entidades da administração pública direta ou indireta, fundações ou entidades beneficentes ou de assistência social.","Art. 5º, XI do RICMS/ES
Convênio ICMS 80/95
",Isenção do ICMS,,,,,,,,,,,,,,,
ES100018,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Entrada, decorrente de importação, e a posterior saída, de mercadorias doadas por organizações internacionais ou estrangeiras, para distribuição gratuita em programas implementados por instituição educacional ou de assistência social.","Art. 5º, XII do RICMS/ES
Convênio ICMS 55/89",Isenção do ICMS,,,,,,,,,,,,,,,
ES100019,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de mercadorias em decorrência de doações a entidades, para assistência a vítimas de calamidade pública.","Art. 5º, XIII do RICMS/ES
Convênio ICMS 26/75
Convênio ICMS 39/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100020,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Saída de mercadoria decorrente de doação efetuada à Secretaria de Estado da Educação.,"Art. 5º, XIV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 78/92
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100021,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de produtos alimentícios, considerados ""perdas"", com destino aos estabelecimentos do Banco de Alimentos (Food Bank) e do Instituto de Integração e de Promoção da Cidadania (INTEGRA).","Art. 5º, XVI do RICMS/ES
Convênio ICMS 136/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100022,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Saídas de mercadorias, em decorrência de doação a órgãos e entidades da administração pública ou a entidades assistenciais, para assistência às vítimas de situação de seca nacionalmente reconhecida.","Art. 5º, XVII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 57/98
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100023,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de material de consumo, equipamentos e outros bens móveis doados pela EMBRATEL.","Art. 5º, XVIII do RICMS/ES
Convênio ICMS 15/00",Isenção do ICMS,,,,,,,,,,,,,,,
