Tabela de País usada na NF-e – NT 2018.003,,,,
cPais,Nome País,SITUAÇÃO,Data Início,Data Fim
4235,"LEBUAN,ILHAS",EXCLUÍDO,01/01/2006,31/05/2018
4260,LESOTO,,01/01/2006,
4278,"LETONIA, REPUBLICA DA",,01/01/2006,
4316,LIBANO,,01/01/2006,
4340,LIBERIA,,01/01/2006,
4383,LIBIA,,01/01/2006,
4405,LIECHTENSTEIN,,01/01/2006,
4421,"LITUANIA, REPUBLICA DA",,01/01/2006,
4456,LUXEMBURGO,,01/01/2006,
4472,MACAU,,01/01/2006,
4499,"MACEDONIA, ANT.REP.IUGOSLAVA",APENAS ALTERAÇÃO DE NOME,01/01/2006,
4499,MACEDONIA DO NORTE,APENAS ALTERAÇÃO DE NOME,01/01/2006,
4502,MADAGASCAR,,01/01/2006,
4525,"MADEIRA, ILHA DA",EXCLUÍDO,01/01/2006,31/05/2018
4553,MALASIA,,01/01/2006,
4588,MALAVI,,01/01/2006,
4618,MALDIVAS,,01/01/2006,
4642,MALI,,01/01/2006,
4677,MALTA,,01/01/2006,
4723,MARIANAS DO NORTE,,01/01/2006,
4740,MARROCOS,,01/01/2006,
4766,"MARSHALL,ILHAS",,01/01/2006,
4774,MARTINICA,,01/01/2006,
4855,MAURICIO,,01/01/2006,
4880,MAURITANIA,,01/01/2006,
4885,MAYOTTE (ILHAS FRANCESAS),ALTERADO,01/01/2006,31/05/2018
4898,MAYOTTE (ILHAS FRANCESAS),INCLUÍDO,01/01/2017,
4901,"MIDWAY, ILHAS",EXCLUÍDO,01/01/2006,31/05/2018
4936,MEXICO,,01/01/2006,
4944,"MOLDAVIA, REPUBLICA DA",,01/01/2006,
4952,MONACO,,01/01/2006,
4979,MONGOLIA,,01/01/2006,
4985,MONTENEGRO,,01/01/2006,
4995,MICRONESIA,,01/01/2006,
5010,"MONTSERRAT,ILHAS",,01/01/2006,
5053,MOCAMBIQUE,,01/01/2006,
5070,NAMIBIA,,01/01/2006,
5088,NAURU,,01/01/2006,
5118,"CHRISTMAS,ILHA (NAVIDAD)",,01/01/2006,
5177,NEPAL,,01/01/2006,
5215,NICARAGUA,,01/01/2006,
5258,NIGER,,01/01/2006,
5282,NIGERIA,,01/01/2006,
5312,"NIUE,ILHA",,01/01/2006,
5355,"NORFOLK,ILHA",,01/01/2006,
5380,NORUEGA,,01/01/2006,
5428,NOVA CALEDONIA,,01/01/2006,
