NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
02076000,2016-01-01 00:00:00,,KG,Quilograma,
02081000,2016-01-01 00:00:00,,KG,Quilograma,
02083000,2016-01-01 00:00:00,,KG,Quilograma,
02084000,2016-01-01 00:00:00,,KG,Quilograma,
02085000,2016-01-01 00:00:00,,KG,Quilograma,
02086000,2016-01-01 00:00:00,,KG,Quilograma,
02089000,2016-01-01 00:00:00,,KG,Quilograma,
02091011,2016-01-01 00:00:00,,KG,Quilograma,
02091019,2016-01-01 00:00:00,,KG,Quilograma,
02091021,2016-01-01 00:00:00,,KG,Quilograma,
02091029,2016-01-01 00:00:00,,KG,Quilograma,
02099000,2016-01-01 00:00:00,,KG,Quilograma,
02101100,2016-01-01 00:00:00,,KG,Quilograma,
02101200,2016-01-01 00:00:00,,KG,Quilograma,
02101900,2016-01-01 00:00:00,,KG,Quilograma,
02102000,2016-01-01 00:00:00,,KG,Quilograma,
02109100,2016-01-01 00:00:00,,KG,Quilograma,
02109200,2016-01-01 00:00:00,,KG,Quilograma,
02109300,2016-01-01 00:00:00,,KG,Quilograma,
02109911,2018-07-01 00:00:00,,KG,Quilograma,
02109919,2018-07-01 00:00:00,,KG,Quilograma,
02109920,2018-07-01 00:00:00,,KG,Quilograma,
02109930,2018-07-01 00:00:00,,KG,Quilograma,
02109940,2018-07-01 00:00:00,,KG,Quilograma,
02109990,2018-07-01 00:00:00,,KG,Quilograma,
03011110,2016-01-01 00:00:00,,UN,Unidade,
03011190,2016-01-01 00:00:00,,UN,Unidade,
03011900,2016-01-01 00:00:00,,UN,Unidade,
03019110,2016-01-01 00:00:00,,KG,Quilograma,
03019190,2016-01-01 00:00:00,,KG,Quilograma,
03019210,2016-01-01 00:00:00,,KG,Quilograma,
03019290,2016-01-01 00:00:00,,KG,Quilograma,
03019310,2016-01-01 00:00:00,,KG,Quilograma,
03019390,2016-01-01 00:00:00,,KG,Quilograma,
03019410,2016-01-01 00:00:00,,KG,Quilograma,
03019490,2016-01-01 00:00:00,,KG,Quilograma,
03019510,2016-01-01 00:00:00,,KG,Quilograma,
03019590,2016-01-01 00:00:00,,KG,Quilograma,
03019911,2016-01-01 00:00:00,,KG,Quilograma,
03019912,2016-01-01 00:00:00,,KG,Quilograma,
03019919,2016-01-01 00:00:00,,KG,Quilograma,
03019991,2016-01-01 00:00:00,,KG,Quilograma,
03019992,2016-01-01 00:00:00,,KG,Quilograma,
03019999,2016-01-01 00:00:00,,KG,Quilograma,
03021100,2016-01-01 00:00:00,,KG,Quilograma,
03021300,2016-01-01 00:00:00,,KG,Quilograma,
03021400,2016-01-01 00:00:00,,KG,Quilograma,
03021900,2016-01-01 00:00:00,,KG,Quilograma,
03022100,2016-01-01 00:00:00,,KG,Quilograma,
03022200,2016-01-01 00:00:00,,KG,Quilograma,
03022300,2016-01-01 00:00:00,,KG,Quilograma,
03022400,2016-01-01 00:00:00,,KG,Quilograma,
03022900,2016-01-01 00:00:00,,KG,Quilograma,
03023100,2016-01-01 00:00:00,,KG,Quilograma,
03023200,2016-01-01 00:00:00,,KG,Quilograma,
03023300,2016-01-01 00:00:00,,KG,Quilograma,
03023400,2016-01-01 00:00:00,,KG,Quilograma,
03023500,2016-01-01 00:00:00,,KG,Quilograma,
03023600,2016-01-01 00:00:00,,KG,Quilograma,
03023900,2016-01-01 00:00:00,,KG,Quilograma,
03024100,2016-01-01 00:00:00,,KG,Quilograma,
03024210,2016-01-01 00:00:00,,KG,Quilograma,
03024290,2016-01-01 00:00:00,,KG,Quilograma,
03024300,2016-01-01 00:00:00,,KG,Quilograma,
03024400,2016-01-01 00:00:00,,KG,Quilograma,
03024500,2016-01-01 00:00:00,,KG,Quilograma,
03024600,2016-01-01 00:00:00,,KG,Quilograma,
03024700,2016-01-01 00:00:00,,KG,Quilograma,
03024910,2017-01-01 00:00:00,,KG,Quilograma,
03024990,2017-01-01 00:00:00,,KG,Quilograma,
03025100,2016-01-01 00:00:00,,KG,Quilograma,
03025200,2016-01-01 00:00:00,,KG,Quilograma,
03025300,2016-01-01 00:00:00,,KG,Quilograma,
03025400,2016-01-01 00:00:00,,KG,Quilograma,
03025500,2016-01-01 00:00:00,,KG,Quilograma,
03025600,2016-01-01 00:00:00,,KG,Quilograma,
03025900,2016-01-01 00:00:00,,KG,Quilograma,
03027100,2016-01-01 00:00:00,,KG,Quilograma,
03027210,2016-01-01 00:00:00,,KG,Quilograma,
03027290,2016-01-01 00:00:00,,KG,Quilograma,
03027300,2016-01-01 00:00:00,,KG,Quilograma,
03027400,2016-01-01 00:00:00,,KG,Quilograma,
03027900,2016-01-01 00:00:00,,KG,Quilograma,
03028100,2016-01-01 00:00:00,,KG,Quilograma,
03028200,2016-01-01 00:00:00,,KG,Quilograma,
03028310,2016-01-01 00:00:00,,KG,Quilograma,
03028320,2016-01-01 00:00:00,,KG,Quilograma,
03028400,2016-01-01 00:00:00,,KG,Quilograma,
03028500,2016-01-01 00:00:00,,KG,Quilograma,
03028910,2017-01-01 00:00:00,,KG,Quilograma,
03028921,2016-01-01 00:00:00,,KG,Quilograma,
03028922,2016-01-01 00:00:00,,KG,Quilograma,
03028923,2016-01-01 00:00:00,,KG,Quilograma,
03028924,2016-01-01 00:00:00,,KG,Quilograma,
03028931,2016-01-01 00:00:00,,KG,Quilograma,
03028932,2016-01-01 00:00:00,,KG,Quilograma,
03028933,2016-01-01 00:00:00,,KG,Quilograma,
03028934,2016-01-01 00:00:00,,KG,Quilograma,
03028935,2016-01-01 00:00:00,,KG,Quilograma,
03028936,2016-01-01 00:00:00,,KG,Quilograma,
03028937,2016-01-01 00:00:00,,KG,Quilograma,
03028938,2016-01-01 00:00:00,,KG,Quilograma,
03028941,2016-01-01 00:00:00,,KG,Quilograma,
03028942,2016-01-01 00:00:00,,KG,Quilograma,
03028943,2016-01-01 00:00:00,,KG,Quilograma,
03028944,2016-01-01 00:00:00,,KG,Quilograma,
03028945,2016-01-01 00:00:00,,KG,Quilograma,
03028990,2016-01-01 00:00:00,,KG,Quilograma,
03029110,2023-04-01 00:00:00,,KG,Quilograma,
03029190,2023-04-01 00:00:00,,KG,Quilograma,
03029200,2017-01-01 00:00:00,,KG,Quilograma,
03029900,2017-01-01 00:00:00,,KG,Quilograma,
03031100,2016-01-01 00:00:00,,KG,Quilograma,
03031200,2016-01-01 00:00:00,,KG,Quilograma,
03031300,2016-01-01 00:00:00,,KG,Quilograma,
03031400,2016-01-01 00:00:00,,KG,Quilograma,
03031900,2016-01-01 00:00:00,,KG,Quilograma,
03032300,2016-01-01 00:00:00,,KG,Quilograma,
03032410,2016-01-01 00:00:00,,KG,Quilograma,
03032490,2016-01-01 00:00:00,,KG,Quilograma,
03032500,2016-01-01 00:00:00,,KG,Quilograma,
03032600,2016-01-01 00:00:00,,KG,Quilograma,
