NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
20089300,2016-01-01 00:00:00,,KG,Quilograma,
20089710,2016-01-01 00:00:00,,KG,Quilograma,
20089790,2016-01-01 00:00:00,,KG,Quilograma,
20089900,2016-01-01 00:00:00,,KG,Quilograma,
20091100,2016-01-01 00:00:00,,KG,Quilograma,
20091200,2016-01-01 00:00:00,,KG,Quilograma,
20091900,2016-01-01 00:00:00,,KG,Quilograma,
20092100,2016-01-01 00:00:00,,KG,Quilograma,
20092900,2016-01-01 00:00:00,,KG,Quilograma,
20093100,2016-01-01 00:00:00,,KG,Quilograma,
20093900,2016-01-01 00:00:00,,KG,Quilograma,
20094100,2016-01-01 00:00:00,,KG,Quilograma,
20094900,2016-01-01 00:00:00,,KG,Quilograma,
20095000,2016-01-01 00:00:00,,KG,Quilograma,
20096100,2016-01-01 00:00:00,,KG,Quilograma,
20096900,2016-01-01 00:00:00,,KG,Quilograma,
20097100,2016-01-01 00:00:00,,KG,Quilograma,
20097900,2016-01-01 00:00:00,,KG,Quilograma,
20098100,2016-01-01 00:00:00,,KG,Quilograma,
20098911,2016-01-01 00:00:00,,KG,Quilograma,
20098912,2016-01-01 00:00:00,,KG,Quilograma,
20098913,2016-01-01 00:00:00,,KG,Quilograma,
20098919,2016-01-01 00:00:00,,KG,Quilograma,
20098921,2017-07-01 00:00:00,,KG,Quilograma,
20098922,2017-07-01 00:00:00,,KG,Quilograma,
20098990,2016-01-01 00:00:00,,KG,Quilograma,
20099000,2016-01-01 00:00:00,,KG,Quilograma,
21011110,2016-01-01 00:00:00,,TON,Tonel Metr Liquida,
21011190,2016-01-01 00:00:00,,TON,Tonel Metr Liquida,
21011200,2016-01-01 00:00:00,,TON,Tonel Metr Liquida,
21012010,2016-01-01 00:00:00,,KG,Quilograma,
21012020,2016-01-01 00:00:00,,KG,Quilograma,
21013000,2016-01-01 00:00:00,,KG,Quilograma,
21021010,2016-01-01 00:00:00,,KG,Quilograma,
21021090,2016-01-01 00:00:00,,KG,Quilograma,
21022000,2016-01-01 00:00:00,,KG,Quilograma,
21023000,2016-01-01 00:00:00,,KG,Quilograma,
21031010,2016-01-01 00:00:00,,KG,Quilograma,
21031090,2016-01-01 00:00:00,,KG,Quilograma,
21032010,2016-01-01 00:00:00,,KG,Quilograma,
21032090,2016-01-01 00:00:00,,KG,Quilograma,
21033010,2016-01-01 00:00:00,,KG,Quilograma,
21033021,2016-01-01 00:00:00,,KG,Quilograma,
21033029,2016-01-01 00:00:00,,KG,Quilograma,
21039011,2016-01-01 00:00:00,,KG,Quilograma,
21039019,2016-01-01 00:00:00,,KG,Quilograma,
21039021,2016-01-01 00:00:00,,KG,Quilograma,
21039029,2016-01-01 00:00:00,,KG,Quilograma,
21039091,2016-01-01 00:00:00,,KG,Quilograma,
21039099,2016-01-01 00:00:00,,KG,Quilograma,
21041011,2016-01-01 00:00:00,,KG,Quilograma,
21041019,2016-01-01 00:00:00,,KG,Quilograma,
21041021,2016-01-01 00:00:00,,KG,Quilograma,
21041029,2016-01-01 00:00:00,,KG,Quilograma,
21042000,2016-01-01 00:00:00,,KG,Quilograma,
21050010,2016-01-01 00:00:00,,KG,Quilograma,
21050090,2016-01-01 00:00:00,,KG,Quilograma,
21061000,2016-01-01 00:00:00,,KG,Quilograma,
21069010,2016-01-01 00:00:00,,KG,Quilograma,
21069021,2016-01-01 00:00:00,,KG,Quilograma,
21069029,2016-01-01 00:00:00,,KG,Quilograma,
21069030,2016-01-01 00:00:00,,KG,Quilograma,
21069040,2016-01-01 00:00:00,,KG,Quilograma,
21069050,2016-01-01 00:00:00,,KG,Quilograma,
21069060,2016-01-01 00:00:00,,KG,Quilograma,
21069090,2016-01-01 00:00:00,,KG,Quilograma,
22011000,2016-01-01 00:00:00,,LT,Litro,
22019000,2016-01-01 00:00:00,,LT,Litro,
22021000,2016-01-01 00:00:00,,LT,Litro,
22029100,2017-01-01 00:00:00,,LT,Litro,
22029900,2017-01-01 00:00:00,,LT,Litro,
22030000,2016-01-01 00:00:00,,LT,Litro,
22041010,2016-01-01 00:00:00,,LT,Litro,
22041090,2016-01-01 00:00:00,,LT,Litro,
22042100,2016-01-01 00:00:00,,LT,Litro,
22042211,2017-01-01 00:00:00,,LT,Litro,
22042219,2017-01-01 00:00:00,,LT,Litro,
22042220,2017-01-01 00:00:00,,LT,Litro,
22042910,2017-01-01 00:00:00,,LT,Litro,
22042920,2016-01-01 00:00:00,,LT,Litro,
22043000,2016-01-01 00:00:00,,LT,Litro,
22051000,2016-01-01 00:00:00,,LT,Litro,
22059000,2016-01-01 00:00:00,,LT,Litro,
22060010,2016-01-01 00:00:00,,LT,Litro,
22060090,2016-01-01 00:00:00,,LT,Litro,
22071010,2016-01-01 00:00:00,,LT,Litro,
22071090,2016-01-01 00:00:00,,LT,Litro,
22072011,2016-01-01 00:00:00,,LT,Litro,
22072019,2016-01-01 00:00:00,,LT,Litro,
22072020,2016-01-01 00:00:00,,LT,Litro,
22082000,2016-01-01 00:00:00,,LT,Litro,
22083010,2016-01-01 00:00:00,,LT,Litro,
22083020,2016-01-01 00:00:00,,LT,Litro,
22083090,2016-01-01 00:00:00,,LT,Litro,
22084000,2016-01-01 00:00:00,,LT,Litro,
22085000,2016-01-01 00:00:00,,LT,Litro,
22086000,2016-01-01 00:00:00,,LT,Litro,
22087000,2016-01-01 00:00:00,,LT,Litro,
22089000,2016-01-01 00:00:00,,LT,Litro,
22090000,2016-01-01 00:00:00,,LT,Litro,
23011010,2016-01-01 00:00:00,,KG,Quilograma,
23011090,2016-01-01 00:00:00,,KG,Quilograma,
23012010,2016-01-01 00:00:00,,KG,Quilograma,
23012090,2016-01-01 00:00:00,,KG,Quilograma,
23021000,2016-01-01 00:00:00,,KG,Quilograma,
23023010,2016-01-01 00:00:00,,KG,Quilograma,
23023090,2016-01-01 00:00:00,,KG,Quilograma,
23024000,2016-01-01 00:00:00,,KG,Quilograma,
23025000,2016-01-01 00:00:00,,KG,Quilograma,
23031000,2016-01-01 00:00:00,,KG,Quilograma,
23032000,2016-01-01 00:00:00,,KG,Quilograma,
23033000,2016-01-01 00:00:00,,KG,Quilograma,
23040010,2016-01-01 00:00:00,,TON,Tonel Metr Liquida,
23040090,2016-01-01 00:00:00,,TON,Tonel Metr Liquida,
23050000,2016-01-01 00:00:00,,KG,Quilograma,
23061000,2016-01-01 00:00:00,,KG,Quilograma,
23062000,2016-01-01 00:00:00,,KG,Quilograma,
23063010,2016-01-01 00:00:00,,KG,Quilograma,
23063090,2016-01-01 00:00:00,,KG,Quilograma,
23064100,2016-01-01 00:00:00,,KG,Quilograma,
23064900,2016-01-01 00:00:00,,KG,Quilograma,
23065000,2016-01-01 00:00:00,,KG,Quilograma,
23066000,2016-01-01 00:00:00,,KG,Quilograma,
23069010,2016-01-01 00:00:00,,KG,Quilograma,
23069090,2016-01-01 00:00:00,,KG,Quilograma,
23070000,2016-01-01 00:00:00,,KG,Quilograma,
23080000,2016-01-01 00:00:00,,KG,Quilograma,
23091000,2016-01-01 00:00:00,,KG,Quilograma,
23099010,2016-01-01 00:00:00,,KG,Quilograma,
23099020,2016-01-01 00:00:00,,KG,Quilograma,
23099030,2016-01-01 00:00:00,,KG,Quilograma,
23099040,2016-01-01 00:00:00,,KG,Quilograma,
23099050,2016-01-01 00:00:00,,KG,Quilograma,
23099060,2016-01-01 00:00:00,,KG,Quilograma,
23099070,2025-10-01 00:00:00,,KG,Quilograma,
23099090,2016-01-01 00:00:00,,KG,Quilograma,
24011010,2016-01-01 00:00:00,,KG,Quilograma,
24011020,2016-01-01 00:00:00,,KG,Quilograma,
24011030,2016-01-01 00:00:00,,KG,Quilograma,
24011040,2016-01-01 00:00:00,,KG,Quilograma,
24011090,2016-01-01 00:00:00,,KG,Quilograma,
24012010,2016-01-01 00:00:00,,KG,Quilograma,
24012020,2016-01-01 00:00:00,,KG,Quilograma,
24012030,2016-01-01 00:00:00,,KG,Quilograma,
24012040,2016-01-01 00:00:00,,KG,Quilograma,
24012090,2016-01-01 00:00:00,,KG,Quilograma,
24013000,2016-01-01 00:00:00,,KG,Quilograma,
24021000,2016-01-01 00:00:00,,1000UN,Mil Unidades,
24022000,2016-01-01 00:00:00,,1000UN,Mil Unidades,
24029000,2016-01-01 00:00:00,,1000UN,Mil Unidades,
24031100,2016-01-01 00:00:00,,KG,Quilograma,
24031900,2016-01-01 00:00:00,,KG,Quilograma,
24039100,2016-01-01 00:00:00,,KG,Quilograma,
24039910,2016-01-01 00:00:00,,KG,Quilograma,
24039990,2016-01-01 00:00:00,,KG,Quilograma,
24041100,2022-04-01 00:00:00,,KG,Quilograma,
24041200,2022-04-01 00:00:00,,KG,Quilograma,
24041900,2022-04-01 00:00:00,,KG,Quilograma,
24049100,2022-04-01 00:00:00,,KG,Quilograma,
24049200,2022-04-01 00:00:00,,KG,Quilograma,
24049900,2022-04-01 00:00:00,,KG,Quilograma,
25010011,2016-01-01 00:00:00,,KG,Quilograma,
25010019,2016-01-01 00:00:00,,KG,Quilograma,
25010020,2016-01-01 00:00:00,,KG,Quilograma,
25010090,2016-01-01 00:00:00,,KG,Quilograma,
25020000,2016-01-01 00:00:00,,KG,Quilograma,
25030010,2016-01-01 00:00:00,,KG,Quilograma,
25030090,2016-01-01 00:00:00,,KG,Quilograma,
25041000,2016-01-01 00:00:00,,KG,Quilograma,
25049000,2016-01-01 00:00:00,,KG,Quilograma,
25051000,2016-01-01 00:00:00,,KG,Quilograma,
25059000,2016-01-01 00:00:00,,KG,Quilograma,
25061000,2016-01-01 00:00:00,,KG,Quilograma,
25062000,2016-01-01 00:00:00,,KG,Quilograma,
25070010,2016-01-01 00:00:00,,KG,Quilograma,
25070090,2016-01-01 00:00:00,,KG,Quilograma,
25081000,2016-01-01 00:00:00,,KG,Quilograma,
25083000,2016-01-01 00:00:00,,KG,Quilograma,
25084010,2016-01-01 00:00:00,,KG,Quilograma,
25084090,2016-01-01 00:00:00,,KG,Quilograma,
25085000,2016-01-01 00:00:00,,KG,Quilograma,
25086000,2016-01-01 00:00:00,,KG,Quilograma,
25087000,2016-01-01 00:00:00,,KG,Quilograma,
25090000,2016-01-01 00:00:00,,KG,Quilograma,
25101010,2016-01-01 00:00:00,,KG,Quilograma,
25101090,2016-01-01 00:00:00,,KG,Quilograma,
25102010,2016-01-01 00:00:00,,KG,Quilograma,
25102090,2016-01-01 00:00:00,,KG,Quilograma,
25111000,2016-01-01 00:00:00,,KG,Quilograma,
25112000,2016-01-01 00:00:00,,KG,Quilograma,
25120000,2016-01-01 00:00:00,,KG,Quilograma,
25131000,2016-01-01 00:00:00,,KG,Quilograma,
25132000,2016-01-01 00:00:00,,KG,Quilograma,
25140000,2016-01-01 00:00:00,,KG,Quilograma,
25151100,2016-01-01 00:00:00,,M3,Metro Cubico,
25151210,2016-01-01 00:00:00,,M3,Metro Cubico,
25151220,2016-01-01 00:00:00,,M3,Metro Cubico,
25152000,2016-01-01 00:00:00,,M3,Metro Cubico,
25161100,2016-01-01 00:00:00,,M3,Metro Cubico,
25161200,2016-01-01 00:00:00,,M3,Metro Cubico,
25162000,2016-01-01 00:00:00,,M3,Metro Cubico,
25169000,2016-01-01 00:00:00,,KG,Quilograma,
25171000,2016-01-01 00:00:00,,KG,Quilograma,
25172000,2016-01-01 00:00:00,,KG,Quilograma,
25173000,2016-01-01 00:00:00,,KG,Quilograma,
25174100,2016-01-01 00:00:00,,KG,Quilograma,
25174900,2016-01-01 00:00:00,,KG,Quilograma,
25181000,2016-01-01 00:00:00,,KG,Quilograma,
25182000,2016-01-01 00:00:00,,KG,Quilograma,
25191000,2016-01-01 00:00:00,,KG,Quilograma,
25199010,2016-01-01 00:00:00,,KG,Quilograma,
25199090,2016-01-01 00:00:00,,KG,Quilograma,
25201011,2016-01-01 00:00:00,,KG,Quilograma,
25201019,2016-01-01 00:00:00,,KG,Quilograma,
25201020,2016-01-01 00:00:00,,KG,Quilograma,
25202010,2016-01-01 00:00:00,,KG,Quilograma,
25202090,2016-01-01 00:00:00,,KG,Quilograma,
25210000,2016-01-01 00:00:00,,KG,Quilograma,
25221000,2016-01-01 00:00:00,,KG,Quilograma,
25222000,2016-01-01 00:00:00,,KG,Quilograma,
25223000,2016-01-01 00:00:00,,KG,Quilograma,
25231000,2016-01-01 00:00:00,,KG,Quilograma,
25232100,2016-01-01 00:00:00,,KG,Quilograma,
25232910,2016-01-01 00:00:00,,KG,Quilograma,
25232990,2016-01-01 00:00:00,,KG,Quilograma,
25233000,2016-01-01 00:00:00,,KG,Quilograma,
25239000,2016-01-01 00:00:00,,KG,Quilograma,
25241000,2016-01-01 00:00:00,,KG,Quilograma,
25249000,2016-01-01 00:00:00,,KG,Quilograma,
25251000,2016-01-01 00:00:00,,KG,Quilograma,
25252000,2016-01-01 00:00:00,,KG,Quilograma,
25253000,2016-01-01 00:00:00,,KG,Quilograma,
25261000,2016-01-01 00:00:00,,KG,Quilograma,
25262000,2016-01-01 00:00:00,,KG,Quilograma,
25280000,2016-01-01 00:00:00,,KG,Quilograma,
25291000,2016-01-01 00:00:00,,KG,Quilograma,
25292100,2016-01-01 00:00:00,,KG,Quilograma,
25292200,2016-01-01 00:00:00,,KG,Quilograma,
25293000,2016-01-01 00:00:00,,KG,Quilograma,
25301010,2016-01-01 00:00:00,,KG,Quilograma,
25301090,2016-01-01 00:00:00,,KG,Quilograma,
25302000,2016-01-01 00:00:00,,KG,Quilograma,
25309010,2016-01-01 00:00:00,,KG,Quilograma,
25309020,2016-01-01 00:00:00,,KG,Quilograma,
25309030,2016-01-01 00:00:00,,KG,Quilograma,
25309040,2016-01-01 00:00:00,,KG,Quilograma,
25309090,2016-01-01 00:00:00,,KG,Quilograma,
26011100,2016-01-01 00:00:00,,KG,Quilograma,
26011210,2016-01-01 00:00:00,,KG,Quilograma,
26011220,2026-02-01 00:00:00,,KG,Quilograma,
26011290,2016-01-01 00:00:00,,KG,Quilograma,
26012000,2016-01-01 00:00:00,,KG,Quilograma,
26020010,2016-01-01 00:00:00,,KG,Quilograma,
26020090,2016-01-01 00:00:00,,KG,Quilograma,
26030010,2016-01-01 00:00:00,,KG,Quilograma,
26030090,2016-01-01 00:00:00,,KG,Quilograma,
26040000,2016-01-01 00:00:00,,KG,Quilograma,
26050000,2016-01-01 00:00:00,,KG,Quilograma,
26060011,2016-01-01 00:00:00,,KG,Quilograma,
26060012,2016-01-01 00:00:00,,KG,Quilograma,
26060090,2016-01-01 00:00:00,,KG,Quilograma,
26070000,2016-01-01 00:00:00,,KG,Quilograma,
26080010,2016-01-01 00:00:00,,KG,Quilograma,
26080090,2016-01-01 00:00:00,,KG,Quilograma,
26090000,2016-01-01 00:00:00,,KG,Quilograma,
26100010,2016-01-01 00:00:00,,KG,Quilograma,
26100090,2016-01-01 00:00:00,,KG,Quilograma,
26110000,2016-01-01 00:00:00,,KG,Quilograma,
26121000,2016-01-01 00:00:00,,KG,Quilograma,
26122000,2016-01-01 00:00:00,,KG,Quilograma,
26131010,2016-01-01 00:00:00,,KG,Quilograma,
26131090,2016-01-01 00:00:00,,KG,Quilograma,
26139010,2016-01-01 00:00:00,,KG,Quilograma,
26139090,2016-01-01 00:00:00,,KG,Quilograma,
26140010,2016-01-01 00:00:00,,KG,Quilograma,
26140090,2016-01-01 00:00:00,,KG,Quilograma,
26151010,2016-01-01 00:00:00,,KG,Quilograma,
26151020,2016-01-01 00:00:00,,KG,Quilograma,
26151090,2016-01-01 00:00:00,,KG,Quilograma,
26159000,2016-01-01 00:00:00,,KG,Quilograma,
26161000,2016-01-01 00:00:00,,KG,Quilograma,
26169000,2016-01-01 00:00:00,,KG,Quilograma,
26171000,2016-01-01 00:00:00,,KG,Quilograma,
26179000,2016-01-01 00:00:00,,KG,Quilograma,
26180000,2016-01-01 00:00:00,,KG,Quilograma,
26190000,2016-01-01 00:00:00,,KG,Quilograma,
26201100,2016-01-01 00:00:00,,KG,Quilograma,
26201900,2016-01-01 00:00:00,,KG,Quilograma,
26202100,2016-01-01 00:00:00,,KG,Quilograma,
26202900,2016-01-01 00:00:00,,KG,Quilograma,
26203000,2016-01-01 00:00:00,,KG,Quilograma,
26204000,2016-01-01 00:00:00,,KG,Quilograma,
26206000,2016-01-01 00:00:00,,KG,Quilograma,
26209100,2016-01-01 00:00:00,,KG,Quilograma,
26209910,2016-01-01 00:00:00,,KG,Quilograma,
26209990,2016-01-01 00:00:00,,KG,Quilograma,
26211000,2016-01-01 00:00:00,,KG,Quilograma,
26219010,2016-01-01 00:00:00,,KG,Quilograma,
26219090,2016-01-01 00:00:00,,KG,Quilograma,
27011100,2016-01-01 00:00:00,,KG,Quilograma,
27011200,2016-01-01 00:00:00,,KG,Quilograma,
27011900,2016-01-01 00:00:00,,KG,Quilograma,
27012000,2016-01-01 00:00:00,,KG,Quilograma,
27021000,2016-01-01 00:00:00,,KG,Quilograma,
27022000,2016-01-01 00:00:00,,KG,Quilograma,
27030000,2016-01-01 00:00:00,,KG,Quilograma,
27040011,2017-07-01 00:00:00,,KG,Quilograma,
27040012,2017-07-01 00:00:00,,KG,Quilograma,
27040090,2016-01-01 00:00:00,,KG,Quilograma,
27050000,2016-01-01 00:00:00,,KG,Quilograma,
27060000,2016-01-01 00:00:00,,KG,Quilograma,
27071000,2016-01-01 00:00:00,,KG,Quilograma,
27072000,2016-01-01 00:00:00,,KG,Quilograma,
27073000,2016-01-01 00:00:00,,KG,Quilograma,
27074000,2016-01-01 00:00:00,,KG,Quilograma,
27075010,2019-01-01 00:00:00,,KG,Quilograma,
27075090,2019-01-01 00:00:00,,KG,Quilograma,
27079100,2016-01-01 00:00:00,,KG,Quilograma,
27079910,2016-01-01 00:00:00,,KG,Quilograma,
27079990,2016-01-01 00:00:00,,KG,Quilograma,
27081000,2016-01-01 00:00:00,,KG,Quilograma,
27082000,2016-01-01 00:00:00,,KG,Quilograma,
27090010,2016-01-01 00:00:00,,M3,Metro Cubico,
27090090,2016-01-01 00:00:00,,M3,Metro Cubico,
27101210,2016-01-01 00:00:00,,KG,Quilograma,
27101221,2016-01-01 00:00:00,,KG,Quilograma,
27101229,2016-01-01 00:00:00,,KG,Quilograma,
27101230,2016-01-01 00:00:00,,KG,Quilograma,
27101241,2016-01-01 00:00:00,,M3,Metro Cubico,
27101249,2016-01-01 00:00:00,,M3,Metro Cubico,
27101251,2016-01-01 00:00:00,,M3,Metro Cubico,
27101259,2016-01-01 00:00:00,,M3,Metro Cubico,
27101260,2016-01-01 00:00:00,,KG,Quilograma,
27101290,2016-01-01 00:00:00,,KG,Quilograma,
27101911,2016-01-01 00:00:00,,M3,Metro Cubico,
27101919,2016-01-01 00:00:00,,M3,Metro Cubico,
27101921,2016-01-01 00:00:00,,M3,Metro Cubico,
27101922,2016-01-01 00:00:00,,M3,Metro Cubico,
27101929,2016-01-01 00:00:00,,M3,Metro Cubico,
27101931,2016-01-01 00:00:00,,KG,Quilograma,
27101932,2016-01-01 00:00:00,,KG,Quilograma,
27101991,2016-01-01 00:00:00,,KG,Quilograma,
27101992,2016-01-01 00:00:00,,KG,Quilograma,
27101993,2016-01-01 00:00:00,,KG,Quilograma,
27101994,2016-01-01 00:00:00,,KG,Quilograma,
27101999,2016-01-01 00:00:00,,KG,Quilograma,
27102000,2016-01-01 00:00:00,,KG,Quilograma,
27109110,2024-04-01 00:00:00,,KG,Quilograma,
27109120,2024-04-01 00:00:00,,KG,Quilograma,
27109190,2024-04-01 00:00:00,,KG,Quilograma,
27109900,2016-01-01 00:00:00,,KG,Quilograma,
27111100,2016-01-01 00:00:00,,KG,Quilograma,
27111210,2016-01-01 00:00:00,,KG,Quilograma,
27111290,2016-01-01 00:00:00,,KG,Quilograma,
27111300,2016-01-01 00:00:00,,KG,Quilograma,
27111400,2016-01-01 00:00:00,,KG,Quilograma,
27111910,2016-01-01 00:00:00,,KG,Quilograma,
27111990,2016-01-01 00:00:00,,KG,Quilograma,
27112100,2016-01-01 00:00:00,,KG,Quilograma,
27112910,2016-01-01 00:00:00,,KG,Quilograma,
27112990,2016-01-01 00:00:00,,KG,Quilograma,
27121000,2016-01-01 00:00:00,,KG,Quilograma,
27122000,2016-01-01 00:00:00,,KG,Quilograma,
27129000,2016-01-01 00:00:00,,KG,Quilograma,
27131100,2016-01-01 00:00:00,,KG,Quilograma,
27131200,2016-01-01 00:00:00,,KG,Quilograma,
27132000,2016-01-01 00:00:00,,KG,Quilograma,
27139000,2016-01-01 00:00:00,,KG,Quilograma,
27141000,2016-01-01 00:00:00,,KG,Quilograma,
27149000,2016-01-01 00:00:00,,KG,Quilograma,
27150000,2016-01-01 00:00:00,,KG,Quilograma,
27160000,2016-01-01 00:00:00,,MWHORA,Megawatt Hora,
28011000,2016-01-01 00:00:00,,KG,Quilograma,
28012010,2016-01-01 00:00:00,,KG,Quilograma,
28012090,2016-01-01 00:00:00,,KG,Quilograma,
28013000,2016-01-01 00:00:00,,KG,Quilograma,
28020000,2016-01-01 00:00:00,,KG,Quilograma,
28030011,2016-01-01 00:00:00,,KG,Quilograma,
28030019,2016-01-01 00:00:00,,KG,Quilograma,
28030090,2016-01-01 00:00:00,,KG,Quilograma,
28041000,2016-01-01 00:00:00,,M3,Metro Cubico,
28042100,2016-01-01 00:00:00,,M3,Metro Cubico,
28042910,2016-01-01 00:00:00,,M3,Metro Cubico,
28042990,2016-01-01 00:00:00,,M3,Metro Cubico,
28043000,2016-01-01 00:00:00,,M3,Metro Cubico,
28044000,2016-01-01 00:00:00,,M3,Metro Cubico,
28045000,2016-01-01 00:00:00,,KG,Quilograma,
28046100,2016-01-01 00:00:00,,KG,Quilograma,
28046900,2016-01-01 00:00:00,,KG,Quilograma,
28047010,2016-01-01 00:00:00,,KG,Quilograma,
28047020,2016-01-01 00:00:00,,KG,Quilograma,
28047030,2016-01-01 00:00:00,,KG,Quilograma,
28048000,2016-01-01 00:00:00,,KG,Quilograma,
28049000,2016-01-01 00:00:00,,KG,Quilograma,
28051100,2016-01-01 00:00:00,,KG,Quilograma,
28051200,2016-01-01 00:00:00,,KG,Quilograma,
28051910,2016-01-01 00:00:00,,KG,Quilograma,
28051920,2016-01-01 00:00:00,,KG,Quilograma,
28051990,2016-01-01 00:00:00,,KG,Quilograma,
28053010,2016-01-01 00:00:00,,KG,Quilograma,
28053090,2016-01-01 00:00:00,,KG,Quilograma,
28054000,2016-01-01 00:00:00,,KG,Quilograma,
28061010,2016-01-01 00:00:00,,KG,Quilograma,
28061020,2016-01-01 00:00:00,,KG,Quilograma,
28062000,2016-01-01 00:00:00,,KG,Quilograma,
28070010,2016-01-01 00:00:00,,KG,Quilograma,
28070020,2016-01-01 00:00:00,,KG,Quilograma,
28080010,2016-01-01 00:00:00,,KG,Quilograma,
28080020,2016-01-01 00:00:00,,KG,Quilograma,
28091000,2016-01-01 00:00:00,,KG,Quilograma,
28092011,2016-01-01 00:00:00,,KG,Quilograma,
28092019,2016-01-01 00:00:00,,KG,Quilograma,
28092020,2016-01-01 00:00:00,,KG,Quilograma,
28092030,2016-01-01 00:00:00,,KG,Quilograma,
28092090,2016-01-01 00:00:00,,KG,Quilograma,
28100010,2016-01-01 00:00:00,,KG,Quilograma,
28100090,2016-01-01 00:00:00,,KG,Quilograma,
28111100,2016-01-01 00:00:00,,KG,Quilograma,
28111200,2017-01-01 00:00:00,,KG,Quilograma,
28111910,2016-01-01 00:00:00,,KG,Quilograma,
28111920,2016-01-01 00:00:00,,KG,Quilograma,
28111930,2016-01-01 00:00:00,,KG,Quilograma,
28111940,2016-01-01 00:00:00,,KG,Quilograma,
28111990,2016-01-01 00:00:00,,KG,Quilograma,
28112100,2016-01-01 00:00:00,,KG,Quilograma,
28112210,2016-01-01 00:00:00,,KG,Quilograma,
28112220,2016-01-01 00:00:00,,KG,Quilograma,
28112230,2016-01-01 00:00:00,,KG,Quilograma,
28112290,2016-01-01 00:00:00,,KG,Quilograma,
28112910,2016-01-01 00:00:00,,KG,Quilograma,
28112990,2016-01-01 00:00:00,,KG,Quilograma,
28121100,2017-01-01 00:00:00,,KG,Quilograma,
28121200,2017-01-01 00:00:00,,KG,Quilograma,
28121300,2017-01-01 00:00:00,,KG,Quilograma,
28121400,2017-01-01 00:00:00,,KG,Quilograma,
28121500,2017-01-01 00:00:00,,KG,Quilograma,
28121600,2017-01-01 00:00:00,,KG,Quilograma,
28121700,2017-01-01 00:00:00,,KG,Quilograma,
28121911,2017-01-01 00:00:00,,KG,Quilograma,
28121919,2017-01-01 00:00:00,,KG,Quilograma,
28121920,2017-01-01 00:00:00,,KG,Quilograma,
28129000,2016-01-01 00:00:00,,KG,Quilograma,
28131000,2016-01-01 00:00:00,,KG,Quilograma,
28139010,2016-01-01 00:00:00,,KG,Quilograma,
28139090,2016-01-01 00:00:00,,KG,Quilograma,
28141000,2016-01-01 00:00:00,,KG,Quilograma,
28142000,2016-01-01 00:00:00,,KG,Quilograma,
28151100,2016-01-01 00:00:00,,KG,Quilograma,
28151200,2016-01-01 00:00:00,,KG,Quilograma,
28152000,2016-01-01 00:00:00,,KG,Quilograma,
28153000,2016-01-01 00:00:00,,KG,Quilograma,
28161010,2016-01-01 00:00:00,,KG,Quilograma,
28161020,2016-01-01 00:00:00,,KG,Quilograma,
28164010,2016-01-01 00:00:00,,KG,Quilograma,
28164090,2016-01-01 00:00:00,,KG,Quilograma,
28170010,2016-01-01 00:00:00,,KG,Quilograma,
28170020,2016-01-01 00:00:00,,KG,Quilograma,
28181010,2016-01-01 00:00:00,,KG,Quilograma,
28181090,2016-01-01 00:00:00,,KG,Quilograma,
28182010,2016-01-01 00:00:00,,KG,Quilograma,
28182090,2016-01-01 00:00:00,,KG,Quilograma,
28183000,2016-01-01 00:00:00,,KG,Quilograma,
28191000,2016-01-01 00:00:00,,KG,Quilograma,
28199010,2016-01-01 00:00:00,,KG,Quilograma,
28199020,2016-01-01 00:00:00,,KG,Quilograma,
28201010,2024-04-01 00:00:00,,KG,Quilograma,
28201090,2024-04-01 00:00:00,,KG,Quilograma,
28209010,2016-01-01 00:00:00,,KG,Quilograma,
28209020,2016-01-01 00:00:00,,KG,Quilograma,
28209030,2016-01-01 00:00:00,,KG,Quilograma,
28209040,2016-01-01 00:00:00,,KG,Quilograma,
28211011,2016-01-01 00:00:00,,KG,Quilograma,
28211019,2016-01-01 00:00:00,,KG,Quilograma,
28211020,2016-01-01 00:00:00,,KG,Quilograma,
28211030,2016-01-01 00:00:00,,KG,Quilograma,
28211090,2016-01-01 00:00:00,,KG,Quilograma,
28212000,2016-01-01 00:00:00,,KG,Quilograma,
28220010,2016-01-01 00:00:00,,KG,Quilograma,
28220090,2016-01-01 00:00:00,,KG,Quilograma,
28230010,2016-01-01 00:00:00,,KG,Quilograma,
28230090,2016-01-01 00:00:00,,KG,Quilograma,
28241000,2016-01-01 00:00:00,,KG,Quilograma,
28249010,2016-01-01 00:00:00,,KG,Quilograma,
28249090,2016-01-01 00:00:00,,KG,Quilograma,
28251010,2016-01-01 00:00:00,,KG,Quilograma,
28251020,2016-01-01 00:00:00,,KG,Quilograma,
28252010,2016-01-01 00:00:00,,KG,Quilograma,
28252020,2016-01-01 00:00:00,,KG,Quilograma,
28253010,2016-01-01 00:00:00,,KG,Quilograma,
28253090,2016-01-01 00:00:00,,KG,Quilograma,
28254010,2016-01-01 00:00:00,,KG,Quilograma,
28254090,2016-01-01 00:00:00,,KG,Quilograma,
28255010,2016-01-01 00:00:00,,KG,Quilograma,
28255090,2016-01-01 00:00:00,,KG,Quilograma,
28256010,2016-01-01 00:00:00,,KG,Quilograma,
28256020,2016-01-01 00:00:00,,KG,Quilograma,
